"Author, year",Age,Mean sleep duration,SE
"Acebo, 2005",1,10.5,0.192
"Sadeh, 2007",1.3,9.36,0.13
"Acebo, 2005",1.5,10.26,0.136
"Kohyama, 2007",1.9,9.9,0.056
"Acebo, 2005",2,9.89,0.096
"Acebo, 2005",2.5,10.06,0.148
"LeBourgeois, 2013",2.8,10,0.104
"Acebo, 2005",3,9.9,0.117
"Williams, 2014",3,10.2,0.046
"Acebo, 2005",4,9.95,0.082
"Ishihara, 2014",4.8,9.18,0.077
"Hatzinger, 2012",4.91,9.25,0.082
"Kushnir, 2013",4.92,9.66,0.158
"Acebo, 2005",5,9.85,0.092
"Cairns, 2014",5,9.4,0.128
"Iwasaki, 2010",5,9.26,0.066
"Werner, 2008",5.9,10.17,0.066
"Souders, 2009",7.1,9.86,0.102
"Burt, 2014",7.7,9.4,0.082
"Pesonen, 2014",8.15,8.34,0.046
"Bagheri, 2015",8.25,8.74,0.066
"Markovich, 2015",8.6,8.4,0.199
"Wiebe, 2013",8.7,8.1,0.087
"Alfano, 2015",8.7,9.5,0.138
"Holley, 2011",8.75,9.46,0.066
"Ashworth, 2013",9.23,9.52,0.077
"Holley, 2014",9.29,9.46,0.092
"Gruber, 2000",9.4,8.7,0.061
"Geiger, 2010",9.4,9.32,0.036
"Corkum, 2001",9.72,9.14,0.138
"Vriend, 2012",9.8,8.8,0.087
"McNeil, 2015",10,9.08,0.036
"Fallone, 2002",10.2,8.97,0.066
"Yamakita, 2014",10.2,8.64,0.097
"Tzischinsky, 2006",10.2,8.7,0.122
"Bursztein, 2006",10.28,8.6,0.066
"Barreira, 2015",10.3,9,0.189
"Gaina, 2004",10.8,7.87,0.102
"Allik, 2006",10.9,8.71,0.092
"Bagley, 2016",11.3,8.26,0.046
"Arora, 2013",12,7.48,0.046
"Marco, 2011",12.6,8.63,0.061
"Beebe, 2007",12.6,8.45,0.168
"Guedes, 2016",13.2,8.1,0.117
"Anderson, 2009",13.7,7.86,0.066
"Beijamini, 2008",13.76,7.97,0.117
"Gaina, 2004",14.2,7.23,0.138
"Chen, 2012",14.52,8.1,0.107
"Huỳnh, 2015",14.7,8.75,0.133
"Fobian, 2016",14.89,7.96,0.148
"Jiang, 2011",15,8.35,0.163
"Tham, 2015",15.3,6.5,0.128
"Dewald, 2012",15.5,8.05,0.046
"Baum, 2014",15.5,6.9,0.143
"Baker, 2013",15.5,7.76,0.204
"Malone, 2016",15.5,7.28,0.092
"El-Sheikh, 2016",15.79,6.98,0.056
