age,p10,p25,p50,p75,p90
0.0833,6.0182,7.0392,8.0417,10.026,12.0189
0.1,6.2346,7.2415,8.2466,10.1393,12.0139
0.1167,6.4643,7.4662,8.4568,10.2574,12.0089
0.1333,6.692,7.6524,8.656,10.3544,12.006
0.15,6.8998,7.8554,8.8633,10.4899,12.0032
0.1667,7.1234,8.0679,9.077,10.5881,12.0006
0.1833,7.2629,8.3313,9.274,10.6864,11.9981
0.2,7.5249,8.4874,9.4891,10.7912,11.9974
0.2167,7.7595,8.6712,9.6901,10.9016,11.9967
0.2333,7.9771,8.8702,9.8842,11.0006,11.9984
0.25,8.1424,9.0779,10.0798,11.0984,12.0001
0.275,8.3162,9.1803,10.1697,11.1688,12.0366
0.3,8.4308,9.3136,10.2759,11.2295,12.0731
0.325,8.5901,9.4439,10.3693,11.2822,12.1191
0.35,8.784,9.5625,10.4674,11.359,12.165
0.375,8.8895,9.675,10.5649,11.4289,12.2064
0.4,9.024,9.8068,10.6554,11.4903,12.2477
0.425,9.2052,9.9277,10.7535,11.564,12.2903
0.45,9.3221,10.0422,10.8452,11.6236,12.3329
0.475,9.4946,10.1953,10.9402,11.6873,12.3651
0.5,9.6054,10.2857,11.0192,11.7298,12.3972
0.525,9.6662,10.3149,11.0394,11.7618,12.4086
0.55,9.6943,10.3449,11.0583,11.7762,12.4199
0.575,9.7282,10.3758,11.0874,11.8028,12.4319
0.6,9.7733,10.4031,11.1124,11.8149,12.4439
0.625,9.7983,10.4371,11.1333,11.8311,12.4589
0.65,9.8469,10.4667,11.1571,11.8459,12.4739
0.675,9.8795,10.5037,11.1797,11.8649,12.4839
0.7,9.9062,10.5302,11.206,11.8815,12.4939
0.725,9.9494,10.556,11.2308,11.9056,12.5089
0.75,9.9799,10.5971,11.2607,11.933,12.524
0.775,10.0329,10.6544,11.3085,11.976,12.5664
0.8,10.1037,10.6884,11.3563,12.0142,12.6089
0.825,10.1472,10.7461,11.4022,12.061,12.6509
0.85,10.19,10.7945,11.4523,12.1083,12.693
0.875,10.2602,10.8418,11.4952,12.1442,12.7381
0.9,10.3096,10.8945,11.539,12.1921,12.7833
0.925,10.3533,10.9329,11.5861,12.2372,12.8263
0.95,10.4145,10.9929,11.6336,12.2793,12.8693
0.975,10.4588,11.0324,11.6814,12.3184,12.901
1,10.4878,11.0728,11.7035,12.3335,12.9327
1.05,10.4894,11.0591,11.7016,12.3439,12.9197
1.1,10.4838,11.0592,11.6949,12.3263,12.9066
1.15,10.4774,11.0549,11.6863,12.3218,12.8937
1.2,10.4707,11.0465,11.6771,12.317,12.8807
1.25,10.4676,11.0361,11.6677,12.2994,12.8711
1.3,10.4648,11.028,11.6679,12.2934,12.8615
1.35,10.4611,11.0286,11.6504,12.2746,12.8488
1.4,10.4594,11.0191,11.6456,12.2728,12.8361
1.45,10.455,11.0191,11.6371,12.2594,12.8258
1.5,10.441,11.0015,11.6282,12.2544,12.8155
1.55,10.4413,11.0058,11.6238,12.2461,12.8055
1.6,10.4368,11.0022,11.612,12.2329,12.7955
1.65,10.4368,10.9925,11.610900000000001,12.2206,12.7837
1.7,10.4341,10.9925,11.5971,12.2194,12.7718
1.75,10.4314,10.9745,11.5936,12.2061,12.7601
1.8,10.4251,10.9747,11.5837,12.1948,12.7483
1.85,10.4215,10.9781,11.574,12.1921,12.7386
1.9,10.4153,10.9655,11.5704,12.1794,12.7289
1.95,10.4113,10.9612,11.5565,12.1741,12.7166
2,10.4099,10.9481,11.5556,12.154,12.7044
2.1,10.4017,10.9347,11.5394,12.1397,12.6826
2.2,10.3857,10.9264,11.5174,12.1182,12.6608
2.3,10.3751,10.9156,11.507,12.0994,12.6385
2.4,10.3786,10.9055,11.4905,12.0853,12.6163
2.5,10.3701,10.8984,11.477,12.0592,12.5906
2.6,10.361,10.8813,11.464,12.0423,12.5649
2.7,10.3545,10.868,11.4482,12.0159,12.5384
2.8,10.3447,10.8543,11.4313,12.0062,12.5119
2.9,10.3355,10.8501,11.4147,11.9881,12.4915
3,10.3252,10.8378,11.4029,11.9621,12.4712
3.1,10.3162,10.8224,11.3832,11.9479,12.4484
3.2,10.3111,10.8145,11.3661,11.9261,12.4256
3.3,10.3051,10.8013,11.357,11.9055,12.406
3.4,10.2902,10.7877,11.336,11.8851,12.3864
3.5,10.287,10.7775,11.3252,11.868,12.3639
3.6,10.2777,10.7645,11.3085,11.8546,12.3414
3.7,10.2755,10.7573,11.2861,11.8282,12.3168
3.8,10.2572,10.7427,11.2737,11.8153,12.2922
3.9,10.2517,10.7346,11.259,11.7981,12.2669
4,10.2355,10.7212,11.246,11.7698,12.2416
4.1,10.2376,10.7079,11.2325,11.7584,12.2228
4.2,10.2294,10.6967,11.219,11.7342,12.204
4.3,10.213,10.6889,11.2058,11.7214,12.1833
4.4,10.218,10.6682,11.1879,11.7038,12.1627
4.5,10.2103,10.6619,11.1756,11.6765,12.1438
4.6,10.1905,10.6501,11.1592,11.6653,12.1249
4.7,10.1923,10.6371,11.1469,11.6514,12.1074
4.8,10.1846,10.6282,11.1303,11.6327,12.0898
4.9,10.1723,10.6239,11.1224,11.6113,12.0604
5,10.1586,10.6095,11.0988,11.5974,12.031
5.1,10.1427,10.5927,11.0853,11.5693,12.0094
5.2,10.1336,10.5706,11.064,11.5547,11.9878
5.3,10.1238,10.5569,11.043,11.5223,11.9617
5.4,10.1073,10.5434,11.0235,11.5064,11.9356
5.5,10.0956,10.5303,11.0051,11.4907,11.913
5.6,10.087,10.5093,10.9891,11.4635,11.8905
5.7,10.0727,10.497,10.9681,11.4401,11.8702
5.8,10.0573,10.4717,10.9483,11.423,11.85
5.9,10.0422,10.4633,10.9212,11.4008,11.8196
6,10.0234,10.4509,10.9082,11.3685,11.7892
6.1,10.0089,10.423400000000001,10.883,11.34,11.7686
6.2,9.9934,10.4084,10.8624,11.3276,11.7479
6.3,9.974,10.379,10.8413,11.2992,11.7165
6.4,9.9595,10.3607,10.819,11.2731,11.6851
6.5,9.9342,10.3403,10.7996,11.2454,11.6609
6.6,9.9197,10.3257,10.7745,11.2251,11.6368
6.7,9.899,10.304,10.7572,11.2002,11.6103
6.8,9.8805,10.2857,10.7345,11.1794,11.5839
6.9,9.8671,10.264,10.7076,11.1528,11.5556
7,9.8439,10.2425,10.6856,11.1255,11.5272
7.1,9.8321,10.2174,10.6635,11.0999,11.4968
7.2,9.8039,10.2059,10.6368,11.0796,11.4664
7.3,9.7845,10.1785,10.6097,11.0455,11.4376
7.4,9.7593,10.1566,10.5877,11.0276,11.4088
7.5,9.7384,10.1314,10.5622,11.0023,11.3868
7.6,9.7237,10.113,10.5415,10.9732,11.3649
7.7,9.6947,10.0923,10.5148,10.948,11.3408
7.8,9.6734000000000009,10.0607,10.4902,10.9214,11.3168
7.9,9.6545,10.033,10.4634,10.8938,11.2804
8,9.6224,10.0146,10.4387,10.8606,11.2441
8.1,9.6084,9.9875,10.4134,10.8413,11.214
8.2,9.5735,9.9611,10.3791,10.8147,11.184
8.3,9.5538,9.9354,10.3531,10.7896,11.1577
8.4,9.5292,9.9079,10.3353,10.7603,11.1314
8.5,9.504,9.882,10.3022,10.7327,11.1087
8.6,9.4843,9.8599,10.2773,10.7019,11.086
8.7,9.4551,9.8326,10.2465,10.6775,11.0542
8.8,9.431,9.8031,10.2216,10.6476,11.0223
8.9,9.4053,9.7876,10.2004,10.6226,10.9962
9,9.3753,9.7586,10.1708,10.5896,10.9701
9.1,9.3589,9.7241,10.1455,10.5625,10.9422
9.2,9.3299,9.7026,10.1164,10.5401,10.9143
9.3,9.2936,9.6765,10.0988,10.5087,10.8844
9.4,9.2692,9.6499,10.0691,10.4784,10.8544
9.5,9.2441,9.623,10.0414,10.4515,10.825
9.6,9.2211,9.5966,10.0139,10.4353,10.7956
9.7,9.194,9.5703,9.9879,10.406,10.775
9.8,9.1672,9.5382,9.9577,10.3763,10.7544
9.9,9.1401,9.5171,9.9349,10.3483,10.7311
10,9.1139,9.4896,9.9075,10.3133,10.7078
10.1,9.0825,9.4634,9.8811,10.2992,10.6793
10.2,9.047,9.4371,9.8549,10.2726,10.6507
10.3,9.0248,9.4083,9.8279,10.2462,10.6216
10.4,8.9898,9.3766,9.8008,10.2187,10.5925
10.5,8.9649,9.3392,9.7747,10.1924,10.5662
10.6,8.9334,9.3133,9.7455,10.1674,10.5398
10.7,8.9103,9.2848,9.7203,10.1384,10.5171
10.8,8.8776,9.2588,9.6853,10.1124,10.4945
10.9,8.8416,9.2319,9.6648,10.0853,10.4685
11,8.8166,9.2039,9.6278,10.0607,10.4424
