age,p10,p25,p50,p75,p90
0.1,10.5528,12.1475,13.3468,15.0022,16.3367
0.2,10.6505,12.0995,13.2689,14.8265,16.1629
0.3,10.7582,12.0175,13.1821,14.6445,15.9789
0.4,10.7419,11.9095,13.0731,14.4612,15.7262
0.5,10.7006,11.8003,12.9397,14.2777,15.4664
0.6,10.6381,11.685,12.7757,14.0972,15.2126
0.7,10.5784,11.5725,12.6327,13.934,15.0293
0.8,10.5216,11.4786,12.5431,13.8004,14.8855
0.9,10.4707,11.407,12.4841,13.7033,14.7639
1,10.4245,11.3491,12.4273,13.6356,14.6622
1.1,10.3808,11.2925,12.3722,13.5808,14.5708
1.2,10.3406,11.239,12.3203,13.5221,14.4895
1.3,10.3037,11.1903,12.2684,13.4639,14.426
1.4,10.269,11.1417,12.2166,13.4069,14.360900000000001
1.5,10.2371,11.093,12.1663,13.351,14.2936
1.6,10.2051,11.044,12.1158,13.2956,14.2326
1.7,10.1728,10.995,12.0649,13.2409,14.1742
1.8,10.14,10.9462,12.0149,13.1882,14.1191
1.9,10.1043,10.8975,11.9649,13.1365,14.0646
2,10.0659,10.8491,11.9146,13.0862,14.0089
2.1,10.0235,10.8011,11.8646,13.0322,13.9503
2.2,9.9827,10.7547,11.8141,12.9761,13.8873
2.3,9.9441,10.7083,11.7622,12.9172,13.8215
2.4,9.906,10.6623,11.7088,12.8574,13.7513
2.5,9.8688,10.6191,11.6544,12.7968,13.6767
2.6,9.8327,10.5774,11.598,12.7337,13.5998
2.7,9.7928,10.5369,11.5419,12.6596,13.5218
2.8,9.751,10.4999,11.4858,12.5795,13.4439
2.9,9.7069,10.4652,11.4294,12.5081,13.366
3,9.6643,10.433,11.3728,12.4357,13.288
3.1,9.6231,10.4017,11.3161,12.3622,13.2101
3.2,9.5848,10.3709,11.2594,12.2882,13.1321
3.3,9.5507,10.3406,11.2031,12.2142,13.0542
3.4,9.5195,10.3115,11.1473,12.1405,12.9651
3.5,9.494,10.2827,11.0958,12.0679,12.8762
3.6,9.4745,10.2544,11.049,11.9957,12.8156
3.7,9.459,10.2277,11.0065,11.9239,12.7476
3.8,9.45,10.2017,10.9669,11.8567,12.6762
3.9,9.4448,10.1769,10.9284,11.7919,12.6041
4,9.4424,10.1539,10.8914,11.7304,12.5336
4.1,9.4424,10.132,10.8558,11.6719,12.4643
4.2,9.4406,10.1123,10.8216,11.6149,12.3979
4.3,9.4371,10.0958,10.789,11.5599,12.3332
4.4,9.4336,10.0808,10.7582,11.508,12.2699
4.5,9.4312,10.0663,10.7289,11.4581,12.2106
4.6,9.4303,10.052,10.7025,11.4111,12.1538
4.7,9.4261,10.0379,10.6802,11.3672,12.0993
4.8,9.4225,10.0237,10.6594,11.3255,12.0511
4.9,9.4202,10.0096,10.6401,11.2868,12.0047
5,9.4125,9.9954,10.6217,11.2512,11.9606
5.1,9.4028,9.9806,10.604,11.218,11.9202
5.2,9.3909,9.9659,10.5872,11.1903,11.8806
5.3,9.3759,9.9515,10.5697,11.1638,11.8417
5.4,9.3592,9.937,10.5518,11.1384,11.8064
5.5,9.3399,9.9222,10.5354,11.1142,11.7721
5.6,9.3194,9.9071,10.5186,11.091,11.7379
5.7,9.2988,9.8917,10.5016,11.0687,11.7055
5.8,9.2795,9.8763,10.4845,11.0471,11.6738
5.9,9.2602,9.8608,10.4678,11.0258,11.6425
6,9.2409,9.8451,10.4514,11.0049,11.612
6.1,9.2216,9.829,10.4327,10.9853,11.5819
6.2,9.2021,9.8119,10.4146,10.966,11.5526
6.3,9.1825,9.7939,10.3973,10.9467,11.5228
6.4,9.1648,9.7757,10.3781,10.9279,11.4929
6.5,9.1466,9.7584,10.3585,10.9096,11.4633
6.6,9.128,9.7412,10.3386,10.8922,11.4364
6.7,9.1093,9.7243,10.3197,10.8746,11.4116
6.8,9.0905,9.7082,10.3013,10.8571,11.3891
6.9,9.0715,9.6925,10.2832,10.8407,11.3678
7,9.0522,9.677,10.2655,10.8247,11.3479
7.1,9.033,9.6609,10.2479,10.8089,11.3295
7.2,9.0123,9.6456,10.2309,10.7932,11.3118
7.3,8.9872,9.6307,10.2141,10.7778,11.2951
7.4,8.9675,9.6156,10.1973,10.7627,11.2795
7.5,8.9533,9.6007,10.1806,10.7482,11.2645
7.6,8.9398,9.5859,10.1647,10.7342,11.2503
7.7,8.9232,9.5711,10.1493,10.7207,11.2373
7.8,8.9051,9.5563,10.1338,10.7072,11.2248
7.9,8.8867,9.5415,10.1189,10.6943,11.2132
8,8.8706,9.5264,10.1045,10.682,11.2023
8.1,8.8539,9.5114,10.09,10.671,11.1921
8.2,8.837,9.4966,10.0763,10.6601,11.1831
8.3,8.8216,9.482,10.0635,10.6491,11.1761
8.4,8.8058,9.4677,10.0519,10.6396,11.17
8.5,8.7897,9.4539,10.0413,10.6304,11.1639
8.6,8.7743,9.4408,10.032,10.6214,11.1592
8.7,8.759,9.4279,10.0242,10.6129,11.1554
8.8,8.7439,9.4151,10.0167,10.6046,11.1522
8.9,8.7284,9.4022,10.0096,10.5966,11.1485
9,8.7135,9.3893,10.0034,10.5888,11.1443
9.1,8.6994,9.3765,9.9972,10.5811,11.1415
9.2,8.6861,9.363,9.9908,10.5733,11.138
9.3,8.6732,9.3491,9.9849,10.565,11.1338
9.4,8.661,9.3346,9.9789,10.5559,11.1309
9.5,8.6496,9.3212,9.9725,10.544,11.127
9.6,8.6381,9.3087,9.9651,10.5333,11.1219
9.7,8.6258,9.2961,9.9566,10.5233,11.1182
9.8,8.6126,9.2834,9.9444,10.5123,11.1138
9.9,8.5988,9.2706,9.9313,10.5022,11.1077
10,8.5836,9.2568,9.9176,10.4929,11.1002
10.1,8.5674,9.2427,9.9025,10.4826,11.0927
10.2,8.5502,9.2282,9.8862,10.4722,11.0857
10.3,8.5309,9.2128,9.8691,10.4616,11.0791
10.4,8.5106,9.1966,9.8518,10.451,11.0727
10.5,8.4893,9.1789,9.8337,10.4401,11.0666
10.6,8.4645,9.1601,9.815,10.4289,11.0612
10.7,8.4383,9.1401,9.7957,10.4165,11.0563
10.8,8.4109,9.1176,9.7758,10.4039,11.0528
10.9,8.3816,9.0922,9.7552,10.391,11.0479
11,8.3526,9.0651,9.7346,10.3771,11.0423
11.1,8.3239,9.0358,9.7144,10.3623,11.0388
11.2,8.2968,9.0083,9.6948,10.3456,11.0349
11.3,8.2702,8.9819,9.6751,10.3284,11.0307
11.4,8.2441,8.9571,9.6557,10.3111,11.0249
11.5,8.2183,8.9333,9.6367,10.2944,11.0215
11.6,8.1934,8.9102,9.6177,10.2783,11.0206
11.7,8.1698,8.8883,9.5989,10.2628,11.0156
11.8,8.1471,8.8673,9.5806,10.2493,11.012
11.9,8.1248,8.847,9.5618,10.2363,11.0104
12,8.1029,8.8277,9.5431,10.224,11.0085
12.1,8.0818,8.809,9.5257,10.215,11.0055
12.2,8.061,8.791,9.5075,10.2073,11.0003
12.3,8.0411,8.7739,9.4889,10.2009,10.9992
12.4,8.0227,8.7578,9.4716,10.197,10.9974
12.5,8.0056,8.743,9.4538,10.1949,10.992
12.6,7.9918,8.7299,9.4359,10.1949,10.9892
12.7,7.9793,8.7184,9.4191,10.194,10.9864
12.8,7.9678,8.7094,9.402,10.1917,10.9806
12.9,7.9565,8.7009,9.3847,10.1873,10.976
13,7.9464,8.6927,9.3682,10.1847,10.9715
13.1,7.937,8.685,9.3518,10.1812,10.9654
13.2,7.9277,8.6766,9.3354,10.1751,10.9577
13.3,7.9184,8.6678,9.3205,10.1683,10.9489
13.4,7.9091,8.6585,9.3056,10.1606,10.9389
13.5,7.9007,8.6469,9.2904,10.1509,10.9286
13.6,7.8922,8.6342,9.2761,10.141,10.918
13.7,7.8835,8.6207,9.262,10.1306,10.9074
13.8,7.8723,8.6044,9.2478,10.1177,10.8969
13.9,7.8594,8.5865,9.2334,10.1036,10.8866
14,7.8443,8.5694,9.219,10.0886,10.8776
14.1,7.8273,8.5529,9.2049,10.0729,10.8691
14.2,7.8101,8.5368,9.1902,10.056,10.8614
14.3,7.7934,8.5211,9.1755,10.0382,10.8546
14.4,7.7757,8.5059,9.161,10.0189,10.8497
14.5,7.7579,8.4914,9.1461,9.9991,10.8481
14.6,7.7412,8.4767,9.1309,9.9788,10.8478
14.7,7.7236,8.4617,9.1152,9.9573,10.8489
14.8,7.7058,8.4466,9.0992,9.9357,10.8526
14.9,7.6894,8.4298,9.083,9.9141,10.8578
15,7.6728,8.4115,9.064,9.8937,10.867
15.1,7.6561,8.3909,9.043,9.8746,10.8888
15.2,7.6397,8.3653,9.0201,9.8572,10.9111
15.3,7.624,8.3385,8.9985,9.8431,10.9348
15.4,7.6088,8.3118,8.9783,9.8311,10.9652
15.5,7.594,8.2873,8.9596,9.8224,10.9987
15.6,7.58,8.264,8.9442,9.8142,11.0345
15.7,7.5668,8.2428,8.9298,9.8065,11.0729
15.8,7.5549,8.2222,8.9166,9.7998,11.1118
15.9,7.5424,8.2022,8.9045,9.7951,11.1511
16,7.5293,8.1838,8.8934,9.7912,11.1898
16.1,7.5175,8.1667,8.8841,9.787,11.2281
16.2,7.506,8.1504,8.8763,9.7864,11.2658
16.3,7.4948,8.1352,8.8692,9.7881,11.3045
16.4,7.4841,8.1242,8.8631,9.7923,11.3435
16.5,7.4741,8.1166,8.86,9.7988,11.3829
16.6,7.4657,8.1146,8.8591,9.8071,11.4237
16.7,7.4593,8.1154,8.8627,9.82,11.4663
16.8,7.4536,8.1189,8.8677,9.8367,11.5118
16.9,7.4482,8.1262,8.8738,9.8571,11.5615
17,7.4476,8.1348,8.8819,9.8879,11.6115
17.1,7.4502,8.1452,8.8907,9.9248,11.6599
17.2,7.4576,8.1584,8.9002,9.969,11.7051
17.3,7.4691,8.173,8.9112,10.0197,11.7481
17.4,7.4835,8.1898,8.9222,10.072,11.7871
17.5,7.5035,8.2087,8.9332,10.1258,11.8219
17.6,7.5244,8.2298,8.9451,10.1822,11.8541
17.7,7.5461,8.2553,8.9575,10.2397,11.8829
17.8,7.5693,8.2849,8.9704,10.2987,11.9112
17.9,7.5929,8.3165,8.9827,10.3585,11.9392
18,7.6168,8.3504,8.996,10.4191,11.9663
18.1,7.6425,8.3834,9.0109,10.4813,11.9937
18.2,7.6686,8.4154,9.0282,10.5438,12.0215
18.3,7.6951,8.4438,9.0455,10.6061,12.0492
18.4,7.7232,8.4704,9.062,10.6673,12.0779
18.5,7.7497,8.4957,9.0787,10.7415,12.1076
18.6,7.7726,8.5189,9.095,10.8257,12.1383
18.7,7.7936,8.5407,9.1099,10.9041,12.1697
18.8,7.8121,8.5613,9.122,10.9816,12.2023
18.9,NA,8.5749,9.1326,11.0581,12.2341
19,NA,NA,NA,11.1336,12.2636
