age_bin,age_mid,p10,p25,p50,p75,p90,n
"(10.5,11]",10.923944115633933,7.716776640026641,8.140773809523811,8.545105820105821,8.915478098290599,9.261806792413935,204
"(11,11.5]",11.251508745575727,7.785853174603174,8.200325963718821,8.628387188208617,9.025663919413919,9.381498015873017,1356
"(11.5,12]",11.752028801794923,7.694365079365079,8.106746031746031,8.531649659863946,8.91782879818594,9.277301587301586,1385
"(12,12.5]",12.25536815370992,7.572589077589078,8.003571428571428,8.435119047619049,8.871315192743765,9.244253968253968,1389
"(12.5,13]",12.759344257894808,7.484964466089466,7.926587301587301,8.407668165168165,8.824255952380952,9.18579365079365,1428
"(13,13.5]",13.22587407269132,7.5207575757575755,7.919393206000349,8.308017998866212,8.750841836734693,9.142674319727892,990
"(13.5,14]",13.737764024255045,7.412830687830687,7.798571428571428,8.242658730158729,8.631613756613756,9.108333333333333,781
"(14,14.5]",14.25024655376712,7.197384108946609,7.708836996336997,8.164831349206349,8.61717352092352,8.972559523809524,744
"(14.5,15]",14.768595809897926,7.145069444444444,7.544642857142857,8.010102040816326,8.535572562358277,8.96166335978836,736
"(15,15.5]",15.235379116282607,6.937843406593407,7.401766774891775,7.8917027417027406,8.377380952380951,8.827135770975056,972
"(15.5,16]",15.74608759302677,6.862806637806637,7.2952686202686206,7.784203296703296,8.294075963718821,8.765933828076685,677
"(16,16.5]",16.247641997726,6.888044217687074,7.300670995670996,7.787820512820514,8.285411255411255,8.708214285714284,605
"(16.5,17]",16.758814901730712,6.76328373015873,7.267460317460317,7.695238095238095,8.13906462585034,8.520242063492063,525
"(17,17.5]",17.170205272356345,6.908379120879122,7.217141439909297,7.59411976911977,8.24137506012506,8.75725108225108,206
"(17.5,18]",17.682248258646375,6.990269274376418,7.378022486772487,7.628670634920635,8.259278370439084,8.834920634920636,34
