dataset,age_center,n,mean_sleep,p10,p25,p50,p75,p90
ABCD,11,1560,8.6150953633790035,7.809024224944269,8.190854360971837,8.6150953633790035,9.03933636578617,9.421166501813738
ABCD,12,2774,8.471905425429378,7.646835600171825,8.037665278334085,8.471905425429378,8.906145572524672,9.29697525068693
ABCD,13,2418,8.340975583965248,7.488313403077448,7.8922133828561085,8.340975583965248,8.789737785074388,9.19363776485305
ABCD,14,1525,8.178543044159772,7.289277901538704,7.7105164426318975,8.178543044159772,8.646569645687647,9.0678081867808409
ABCD,15,1708,7.9741939653915965,7.055755227916552,7.490813092342842,7.9741939653915965,8.457574838440351,8.89263270286664
ABCD,16,1282,7.795843590423399,6.871515373633152,7.309363042309749,7.795843590423399,8.28232413853705,8.720171807213646
ABCD,17,731,7.723600757279276,6.81242202845536,7.244040878682227,7.723600757279276,8.203160635876324,8.634779486103193
ABCD,18,35,7.714535827453062,6.82560222813748,7.2466837195369225,7.714535827453062,8.182387935369201,8.603469426768644
NHANES,3,110,9.104657119745411,7.869206881861001,8.454430827855056,9.104657119745411,9.754883411635767,10.34010735762982
NHANES,4,157,8.999405314545925,7.752673128566106,8.343241252723258,8.999405314545925,9.655569376368591,10.246137500525743
NHANES,5,154,8.894565825803252,7.636465836299524,8.23241880772251,8.894565825803252,9.556712843883993,10.15266581530698
NHANES,6,367,8.790550969974213,7.521014176098327,8.122384679995708,8.790550969974213,9.458717259952717,10.060087763850099
NHANES,7,368,8.687773063515625,7.406747946826377,8.013560387115467,8.687773063515625,9.361985739915783,9.968798180204873
NHANES,8,340,8.586644422884302,7.294097583427351,7.90636778142776,8.586644422884302,9.266921064340844,9.879191262341253
NHANES,9,351,8.487577364537062,7.1834941626815265,7.801229053081752,8.487577364537062,9.173925675992372,9.791660566392597
NHANES,10,343,8.39098420493072,7.075369406310781,7.698566731663978,8.39098420493072,9.083401678197465,9.70659900355066
NHANES,11,348,8.297277260522096,6.970155681274704,7.598803686354198,8.297277260522096,8.995750834689995,9.624398839769487
NHANES,12,278,8.206868847768003,6.868285997100112,7.502363124519895,8.206868847768003,8.911374571016113,9.545451698435896
NHANES,13,259,8.120171283125261,6.770194000086942,7.409668588666798,8.120171283125261,8.830673977583725,9.47014856616358
NHANES,14,277,8.037596883050684,6.6763139642354385,7.321143951663793,8.037596883050684,8.754049814437574,9.39887980186593
NHANES,15,225,7.959557964001088,6.5870807787428705,7.2372134101623615,7.959557964001088,8.681902517839815,9.332035149259307
NHANES,16,279,7.886466842433291,6.502929931922777,7.158301476133156,7.886466842433291,8.6146322087334255,9.270003752943804
NHANES,17,213,7.81873583480411,6.424297491406068,7.084832966445708,7.81873583480411,8.552638703162511,9.21317417820215
NHANES,18,233,7.75677725757036,6.351620080491208,7.017232990421349,7.75677725757036,8.49632152471937,9.161934434649513
NHANES,19,221,7.7009750591351835,6.28530648246668,6.955898567240913,7.7009750591351835,8.446051551029454,9.116643635803687
FFCWS,15,613,7.83161213330133,6.394712154202767,7.075361402534137,7.83161213330133,8.587862864068523,9.268512112399893
FFCWS,16,273,7.716987816143504,6.302853885853286,6.972719019608639,7.716987816143504,8.461256612678369,9.131121746433722
FFCWS,17,33,7.793790834096883,6.412949332420313,7.067044080734348,7.793790834096883,8.520537587459417,9.174632335773452
PATS,3,10,10.021925717509678,8.397581651311702,9.167021823746513,10.021925717509678,10.876829611272843,11.646269783707654
PATS,4,37,9.916975289399305,8.660905047668958,9.255896542081471,9.916975289399305,10.57805403671714,11.173045531129652
PATS,5,41,9.808134925184543,8.787870950325894,9.271162701796843,9.808134925184543,10.345107148572243,10.828398900043192
PATS,6,37,9.690588933857349,8.771215183731584,9.206715956966525,9.690588933857349,10.174461910748173,10.609962683983113
PATS,7,33,9.558864156787536,8.616863895215692,9.063082685175635,9.558864156787536,10.054645628399436,10.50086441835938
PATS,8,20,9.412759640263035,8.3838206350754,8.871221686399203,9.412759640263035,9.954297594126867,10.44169864545067
PATS,9,20,9.256948696090927,8.150836617846455,8.674794002200837,9.256948696090927,9.839103389981016,10.363060774335398
PATS,10,16,9.098776417976069,7.974447656773751,8.50703415362219,9.098776417976069,9.690518682329948,10.223105179178388
PATS,11,7,8.943918141248627,7.850494125038557,8.368441265108633,8.943918141248627,9.519395017388621,10.037342157458697
PATS,12,6,8.791854545939033,7.758842683358407,8.2481730181142,8.791854545939033,9.335536073763867,9.824866408519659
