age_mid,p10,p25,p50,p75,p90,n
3,6.204761904761905,6.980952380952381,8.17142857142857,9.41904761904762,10.014285714285714,113
4,6.3,7.54047619047619,8.414285714285715,9.376190476190477,9.942857142857143,159
5,6.819444444444445,8.06904761904762,8.976190476190476,9.552380952380952,9.897222222222222,155
6,6.864285714285714,7.602380952380953,8.678571428571429,9.356666666666667,9.766666666666667,187
7,6.761904761904762,7.885714285714285,8.776190476190477,9.464285714285715,10.019047619047619,190
8,6.05,7.346666666666667,8.5,9.17142857142857,9.454761904761904,167
9,6.978571428571429,7.8500000000000005,8.533333333333333,9.088095238095239,9.466666666666667,169
10,6.841666666666667,7.828571428571428,8.566666666666666,9.021428571428572,9.266666666666666,180
11,6.192857142857143,7.488888888888889,8.173809523809524,8.814285714285713,9.416666666666666,178
12,5.816666666666667,7.270833333333334,7.947619047619048,8.692857142857143,9.042857142857143,149
13,6.127777777777777,7.245238095238095,7.885714285714286,8.457142857142857,8.95,125
14,5.8500000000000005,6.5095238095238095,7.7,8.507142857142858,9.426190476190477,154
15,6.454761904761905,7.0777777777777775,7.683333333333334,8.466666666666667,9.33,123
16,5.208333333333334,6.276190476190476,7.3238095238095235,8.083333333333334,8.816666666666666,156
17,5.223333333333334,6.319444444444445,7.208333333333333,8.321428571428571,8.811904761904762,110
18,5.707142857142857,6.669047619047619,7.6380952380952385,8.269047619047619,8.854761904761904,133
19,5.138888888888889,6.4875,7.171428571428572,7.9750000000000005,8.657142857142857,111
